"version_full";"date (yyyy-mm-dd)"
"9.20";"2012-05-28"
"9.20.0";"2011-08-23"
"9.20.0.1";"2011-08-23"
"9.20.0.2";"2011-08-23"
"9.22";"2012-01-17"
"9.22.1";"2012-02-03"
"9.22.01.20120225";"2012-02-25"
"9.22.01.20130618";"2013-06-18"
"9.38";"2015-06-01"
"15.05";"2015-07-12"
"15.06";"2015-08-09"
"15.07";"2015-09-17"
"15.08";"2015-10-01"
"15.09";"2015-10-16"
"15.10";"2015-11-01"
"15.11";"2015-11-15"
"15.12";"2015-11-19"
"15.14";"2016-01-03"
"16.00";"2016-05-10"
"16.01";"2016-05-19"
"16.02";"2016-05-21"
"16.02.0.20160811";"2016-08-11"
"16.04";"2017-01-18"
"16.4.0.20170402";"2017-04-02"
"16.4.0.20170403";"2017-04-03"
"16.4.0.20170420";"2017-04-20"
"16.4.0.20170506";"2017-05-06"
"18.0-beta";"2018-01-24"
"18.1";"2018-01-29"
"18.2-beta";"2018-03-03"
"18.3-beta";"2018-03-05"
"18.5";"2018-05-01"
"18.5.0.20180730";"2018-07-31"
"18.6";"2018-12-30"
"19.0";"2019-02-22"
"21.1-alpha";"2021-03-31"
"21.2-alpha";"2021-05-06"
"21.3-beta";"2021-07-20"
"21.4-beta";"2021-11-02"
"21.5";"2021-11-21"
"21.6";"2021-11-25"
"21.7";"2021-12-27"
"22.0";"2022-06-20"
"22.1";"2022-07-16"
"23.1.0";"2023-06-21"
"24.1.0-beta";"2024-02-02"
"24.2.0-beta";"2024-03-22"
"24.3.0-beta";"2024-03-24"
"24.4.0-beta";"2024-04-05"
"24.5.0";"2024-05-15"
"24.6.0";"2024-05-27"
"24.7.0";"2024-06-19"
"24.8.0";"2024-08-12"
