"version_full";"version_major";"date (yyyy-mm-dd)"
"1.5.0_1";"5";"2004-12-25"
"1.5.0_2";"5";"2005-03-16"
"1.5.0_3";"5";"2005-05-03"
"1.5.0_4";"5";"2005-07-04"
"1.5.0_5";"5";"2005-09-18"
"1.5.0_6";"5";"2005-12-07"
"1.5.0_7";"5";"2006-05-29"
"1.5.0_8";"5";"2006-08-13"
"1.5.0_9";"5";"2006-11-12"
"1.5.0_10";"5";"2006-12-22"
"1.5.0_11";"5";"2007-03-08"
"1.5.0_12";"5";"2007-06-11"
"1.5.0_13";"5";"2007-10-05"
"1.5.0_14";"5";""
"1.5.0_15";"5";"2008-03-06"
"1.5.0_16";"5";"2008-07-23"
"1.5.0_17";"5";"2008-12-03"
"1.5.0_18";"5";"2009-03-25"
"1.5.0_19";"5";"2009-05-29"
"1.5.0_20";"5";"2009-08-06"
"1.5.0_21";"5";"2009-09-09"
"1.5.0_22";"5";"2009-11-04"
"1.5.0_23";"5";"2010-01-13"
"1.5.0_24";"5";"2010-04-15"
"1.5.0_25";"5";"2010-07-07"
"1.5.0_26";"5";"2010-10-12"
"1.5.0_27";"5";"2010-12-08"
"1.5.0_28";"5";"2011-02-15"
"1.5.0_29";"5";"2011-03-21"
"1.5.0_30";"5";"2011-06-07"
"1.5.0_31";"5";"2011-08-16"
"1.5.0_32";"5";"2011-10-18"
"1.5.0_33";"5";"2011-12-12"
"1.5.0_34";"5";"2012-02-14"
"1.5.0_35";"5";"2012-04-26"
"1.5.0_36";"5";"2012-06-12"
"1.5.0_38";"5";"2012-08-14"
"1.5.0_39";"5";"2013-02-19"
"1.5.0_40";"5";"2013-02-19"
"1.5.0_41";"5";"2013-03-04"
"1.5.0_45";"5";"2013-04-16"
"1.5.0_51";"5";"2013-06-18"
"1.5.0_55";"5";"2013-10-15"
"1.5.0_61";"5";"2014-01-14"
"1.5.0_65";"5";"2014-04-15"
"1.5.0_71";"5";"2014-07-15"
"1.5.0_75";"5";"2014-10-16"
"1.5.0_81";"5";"2015-01-21"
"1.5.0_85";"5";"2015-04-14"
"1.6.0_1";"6";"2007-05-07"
"1.6.0_2";"6";"2007-07-03"
"1.6.0_3";"6";"2007-10-03"
"1.6.0_4";"6";"2008-01-14"
"1.6.0_5";"6";"2008-03-05"
"1.6.0_6";"6";"2008-04-16"
"1.6.0_7";"6";""
"1.6.0_10";"6";"2008-10-15"
"1.6.0_11";"6";"2008-12-03"
"1.6.0_12";"6";"2008-12-12"
"1.6.0_13";"6";"2009-03-24"
"1.6.0_14";"6";"2009-05-28"
"1.6.0_15";"6";"2009-08-04"
"1.6.0_16";"6";"2009-08-11"
"1.6.0_17";"6";"2009-11-04"
"1.6.0_18";"6";"2010-01-13"
"1.6.0_19";"6";"2010-03-30"
"1.6.0_20";"6";"2010-04-15"
"1.6.0_21";"6";"2010-07-07"
"1.6.0_22";"6";"2010-10-12"
"1.6.0_23";"6";"2010-12-08"
"1.6.0_24";"6";"2011-02-15"
"1.6.0_25";"6";"2011-03-21"
"1.6.0_26";"6";"2011-06-07"
"1.6.0_27";"6";"2011-08-16"
"1.6.0_29";"6";"2011-10-18"
"1.6.0_30";"6";"2011-12-12"
"1.6.0_31";"6";"2012-02-14"
"1.6.0_32";"6";"2012-04-26"
"1.6.0_33";"6";"2012-06-12"
"1.6.0_34";"6";"2012-08-14"
"1.6.0_35";"6";"2012-08-30"
"1.6.0_37";"6";"2012-10-16"
"1.6.0_38";"6";"2012-12-11"
"1.6.0_39";"6";"2013-02-01"
"1.6.0_41";"6";"2013-02-19"
"1.6.0_43";"6";"2013-03-04"
"1.6.0_45";"6";"2013-04-16"
"1.6.0_51";"6";"2013-06-18"
"1.6.0_65";"6";"2013-10-15"
"1.6.0_71";"6";"2014-01-14"
"1.6.0_75";"6";"2014-04-15"
"1.6.0_81";"6";"2014-07-15"
"1.6.0_85";"6";"2014-10-16"
"1.6.0_91";"6";"2015-01-21"
"1.6.0_95";"6";"2015-04-14"
"1.6.0_101";"6";"2015-07-15"
"1.6.0_105";"6";"2015-10-20"
"1.6.0_111";"6";"2016-01-20"
"1.6.0_113";"6";"2016-02-05"
"1.6.0_115";"6";"2016-04-21"
"1.6.0_121";"6";"2016-07-19"
"1.6.0_131";"6";"2016-10-18"
"1.6.0_141";"6";"2017-01-17"
"1.6.0_151";"6";"2017-04-18"
"1.6.0_161";"6";"2017-07-18"
"1.6.0_171";"6";"2017-10-20"
"1.6.0_181";"6";"2018-01-16"
"1.6.0_191";"6";"2018-04-17"
"1.6.0_201";"6";"2018-07-17"
"1.6.0_211";"6";"2018-10-18"
"1.7.0_1";"7";"2011-10-18"
"1.7.0_2";"7";"2011-12-12"
"1.7.0_3";"7";"2012-02-14"
"1.7.0_4";"7";"2012-04-26"
"1.7.0_5";"7";"2012-06-12"
"1.7.0_6";"7";"2012-08-14"
"1.7.0_7";"7";"2012-08-30"
"1.7.0_9";"7";"2012-10-16"
"1.7.0_10";"7";"2012-12-11"
"1.7.0_11";"7";"2013-01-13"
"1.7.0_13";"7";"2013-02-01"
"1.7.0_15";"7";"2013-02-19"
"1.7.0_17";"7";"2013-03-04"
"1.7.0_21";"7";"2013-04-16"
"1.7.0_25";"7";"2013-06-18"
"1.7.0_40";"7";"2013-09-10"
"1.7.0_45";"7";"2013-10-15"
"1.7.0_51";"7";"2014-01-14"
"1.7.0_55";"7";"2014-04-15"
"1.7.0_60";"7";"2014-05-28"
"1.7.0_65";"7";"2014-07-15"
"1.7.0_67";"7";"2014-08-04"
"1.7.0_71";"7";"2014-10-14"
"1.7.0_72";"7";"2014-10-14"
"1.7.0_75";"7";"2015-01-20"
"1.7.0_76";"7";"2015-01-20"
"1.7.0_79";"7";"2015-04-14"
"1.7.0_80";"7";"2015-04-14"
"1.7.0_85";"7";"2015-07-15"
"1.7.0_91";"7";"2015-10-20"
"1.7.0_95";"7";"2016-01-19"
"1.7.0_97";"7";"2016-02-05"
"1.7.0_99";"7";"2016-03-23"
"1.7.0_101";"7";"2016-04-18"
"1.7.0_111";"7";"2016-07-19"
"1.7.0_121";"7";"2016-10-18"
"1.7.0_131";"7";"2017-01-17"
"1.7.0_141";"7";"2017-04-18"
"1.7.0_151";"7";"2017-07-18"
"1.7.0_161";"7";"2017-10-20"
"1.7.0_171";"7";"2018-01-16"
"1.7.0_181";"7";"2018-04-17"
"1.7.0_191";"7";"2018-07-17"
"1.7.0_201";"7";"2018-10-18"
"1.7.0_211";"7";"2019-01-15"
"1.7.0_221";"7";"2019-04-16"
"1.7.0_231";"7";"2019-07-16"
"1.7.0_241";"7";"2019-10-15"
"1.7.0_251";"7";"2020-01-14"
"1.7.0_261";"7";"2020-04-14"
"1.7.0_271";"7";"2020-07-14"
"1.7.0_281";"7";"2020-10-20"
"1.7.0_291";"7";"2021-01-19"
"1.7.0_301";"7";"2021-04-12"
"1.7.0_311";"7";"2021-07-20"
"1.7.0_321";"7";"2021-10-19"
"1.7.0_331";"7";"2022-01-18"
"1.8.0_";"8";"2023-04-18"
"1.8.0_5";"8";"2014-04-15"
"1.8.0_11";"8";"2014-07-15"
"1.8.0_20";"8";"2014-08-19"
"1.8.0_20.01";"8";"2014-09-07"
"1.8.0_25";"8";"2014-10-14"
"1.8.0_25.01";"8";"2014-10-23"
"1.8.0_25.02";"8";"2014-10-24"
"1.8.0_25.03";"8";"2014-11-10"
"1.8.0_31";"8";"2015-01-19"
"1.8.0_40";"8";"2015-03-03"
"1.8.0_40.20150325";"8";"2015-03-28"
"1.8.0_40.20150402";"8";"2015-04-14"
"1.8.0_45";"8";"2015-04-14"
"1.8.0_51";"8";"2015-07-14"
"1.8.0_60";"8";"2015-08-18"
"1.8.0_60.20150902";"8";"2015-09-02"
"1.8.0_65";"8";"2015-10-20"
"1.8.0_66";"8";"2015-11-16"
"1.8.0_71";"8";"2016-01-19"
"1.8.0_72";"8";"2016-01-19"
"1.8.0_73";"8";"2016-02-03"
"1.8.0_74";"8";"2016-02-03"
"1.8.0_77";"8";"2016-03-23"
"1.8.0_91";"8";"2016-04-19"
"1.8.0_92";"8";"2016-04-19"
"1.8.0_101";"8";"2016-07-19"
"1.8.0_101.20160917";"8";"2016-09-18"
"1.8.0_102";"8";"2016-07-19"
"1.8.0_111";"8";"2016-10-18"
"1.8.0_112";"8";"2016-10-18"
"1.8.0_121";"8";"2017-01-17"
"1.8.0_131";"8";"2017-04-18"
"1.8.0_141";"8";"2017-07-18"
"1.8.0_144";"8";"2017-07-26"
"1.8.0_151";"8";"2017-10-17"
"1.8.0_152";"8";"2017-10-17"
