"version_full";"date (yyyy-mm-dd)"
"0.70";"2015-10-12"
"0.71";"2015-10-12"
"0.72";"2015-10-12"
"0.73";"2015-10-12"
"0.74";"2015-10-12"
"0.75";"2015-10-12"
"0.75.1";"2015-10-12"
"0.80";"2015-10-12"
"0.81";"2015-10-12"
"0.82";"2015-10-12"
"0.83";"2015-10-12"
"0.84";"2015-10-12"
"0.85";"2015-10-12"
"0.85.1";"2015-10-12"
"0.86";"2015-10-12"
"0.86.1";"2015-10-12"
"0.86.2";"2015-10-12"
"0.87";"2015-10-12"
"0.87.1";"2015-10-12"
"0.88";"2015-10-12"
"0.88.1";"2015-10-12"
"0.88.2";"2015-10-12"
"0.88.3";"2015-10-12"
"0.88.4";"2015-10-12"
"0.88.5";"2015-10-12"
"0.88.6";"2015-10-12"
"0.88.7";"2015-10-12"
"0.90";"2015-10-12"
"0.90.1";"2015-10-12"
"0.90.2";"2015-10-12"
"0.90.3";"2015-10-12"
"0.91";"2015-10-12"
"0.91.1";"2015-10-12"
"0.91.2";"2015-10-12"
"0.92";"2015-10-12"
"0.92.1";"2015-10-12"
"0.93";"2015-10-12"
"0.93.1";"2015-10-12"
"0.93.3";"2015-10-12"
"0.94";"2015-10-12"
"0.94.1";"2015-10-12"
"0.94.2";"2015-10-12"
"0.95";"2015-10-12"
"0.95.1";"2015-10-12"
"0.95.2";"2015-10-12"
"0.95.3";"2015-10-12"
"0.96";"2015-10-12"
"0.96.1";"2015-10-12"
"0.96.2";"2015-10-12"
"0.96.3";"2015-10-12"
"0.96.4";"2015-10-12"
"0.96.5";"2015-10-12"
"0.97";"2015-10-12"
"0.97.1";"2015-10-12"
"0.97.2";"2015-10-12"
"0.97.3";"2015-10-12"
"0.97.4";"2015-10-12"
"0.97.5";"2015-10-12"
"0.97.6";"2015-10-12"
"0.97.7";"2015-10-12"
"0.97.8";"2015-10-12"
"0.98";"2015-10-12"
"0.98.1";"2015-10-12"
"0.98.3";"2015-10-12"
"0.98.4";"2015-10-12"
"0.98.5";"2015-10-12"
"0.98.6";"2015-10-12"
"0.98.7";"2015-10-12"
"0.99";"2015-12-01"
"0.99.1";"2016-03-02"
"0.99.2";"2016-05-03"
"0.99.3";"2018-01-25"
"0.99.4";"2018-03-01"
"0.100.0";"2018-04-09"
"0.100.1";"2018-07-09"
"0.100.2";"2018-10-02"
"0.100.3";"2019-03-26"
"0.101.0";"2018-12-03"
"0.101.1";"2019-01-07"
"0.101.2";"2019-03-26"
"0.101.3";"2019-08-02"
"0.101.4";"2019-08-21"
"0.101.5";"2019-11-20"
"0.102.0";"2019-10-02"
"0.102.1";"2019-11-20"
"0.102.2";"2020-02-04"
"0.102.3";"2020-05-12"
"0.102.4";"2020-07-16"
"0.103.0";"2020-09-14"
"0.103.1";"2021-02-03"
"0.103.2";"2021-04-07"
"0.103.3";"2021-06-21"
"0.103.4";"2021-11-02"
"0.103.5";"2022-01-11"
"0.103.6";"2022-05-03"
"0.103.7";"2022-07-26"
"0.103.7-2";"2022-10-28"
"0.103.8";"2023-02-14"
"0.103.9";"2023-08-16"
"0.103.10";"2023-08-28"
"0.103.11";"2023-10-25"
"0.104.0";"2021-09-03"
"0.104.0-rc";"2021-07-22"
"0.104.1";"2021-11-02"
"0.104.2";"2022-01-11"
"0.104.3";"2022-05-03"
"0.104.4";"2022-07-26"
"0.104.4-2";"2022-10-28"
"0.105.0";"2022-05-03"
"0.105.1";"2022-07-26"
"0.105.1-2";"2022-10-31"
"0.105.1-3";"2022-11-14"
"0.105.2";"2023-02-14"
"1.0.0";"2022-11-23"
"1.0.0-rc";"2022-10-25"
"1.0.1";"2023-02-14"
"1.0.2";"2023-08-16"
"1.0.3";"2023-08-28"
"1.0.4";"2023-10-25"
"1.0.5";"2024-02-07"
"1.1.0";"2023-05-01"
"1.1.0-rc";"2023-03-30"
"1.1.1";"2023-08-16"
"1.1.2";"2023-08-28"
"1.1.3";"2023-10-25"
"1.2.0";"2023-08-28"
"1.2.1";"2023-10-25"
"1.2.2";"2024-02-07"
"1.3.0";"2024-02-07"
"1.3.0-rc";"2023-12-15"
"1.3.0-rc2";"2024-01-24"
