"version_full";"date (yyyy-mm-dd)"
"0.2.149";"2008-09-02"
"0.3.154";"2008-10-29"
"0.4.154";"2008-11-24"
"1.0.154";"2008-12-11"
"2.0.172";"2009-05-24"
"3.0.195";"2009-10-12"
"4.0.249";"2010-01-25"
"4.1.249";"2010-03-17"
"5.0.375";"2010-05-21"
"6.0.472";"2010-09-02"
"7.0.517";"2010-10-21"
"8.0.552";"2010-12-02"
"9.0.597";"2011-02-03"
"10.0.0";"2012-03-03"
"10.0.648";"2011-03-08"
"11.0.696";"2011-04-27"
"12.0.742";"2011-06-07"
"13.0.782";"2011-08-02"
"14.0.835";"2011-09-16"
"15.0.874";"2011-10-25"
"16.0.912";"2011-12-13"
"17.0.963";"2012-02-08"
"18.0.1025";"2012-03-28"
"19.0.1084";"2012-05-15"
"20.0.1132";"2012-06-26"
"21.0.1180";"2012-07-31"
"22.0.1229";"2012-09-25"
"23.0.1271";"2012-11-06"
"24.0.1312";"2013-01-10"
"25.0.1364";"2013-02-21"
"26.0.1410";"2013-03-26"
"26.0.1410.64";"2013-05-10"
"27.0.1453";"2013-05-21"
"27.0.1453.110";"2013-06-17"
"27.0.1453.116";"2013-06-19"
"28.0.1500";"2013-06-17"
"28.0.1500.71";"2013-07-10"
"28.0.1500.72";"2013-07-21"
"28.0.1500.95";"2013-07-31"
"29.0.1547";"2013-08-20"
"29.0.1547.57";"2013-08-21"
"29.0.1547.62";"2013-08-28"
"29.0.1547.66";"2013-09-05"
"29.0.1547.76";"2013-09-19"
"30.0.1599";"2013-09-18"
"30.0.1599.66";"2013-10-03"
"30.0.1599.69";"2013-10-04"
"30.0.1599.101";"2013-10-16"
"31.0.1650";"2013-11-12"
"31.0.1650.48";"2013-11-13"
"31.0.1650.57";"2013-11-17"
"31.0.1650.63";"2013-12-05"
"32.0.1700";"2014-01-14"
"32.0.1700.76";"2014-01-15"
"32.0.1700.102";"2014-01-27"
"32.0.1700.107";"2014-02-03"
"33.0.1750";"2014-02-18"
"33.0.1750.117";"2014-02-20"
"33.0.1750.146";"2014-03-04"
"33.0.1750.149";"2014-03-11"
"33.0.1750.154";"2014-03-15"
"34.0.1847";"2014-04-02"
"34.0.1847.116";"2014-04-09"
"34.0.1847.131";"2014-04-24"
"34.0.1847.11601";"2014-04-22"
"35.0.1916";"2014-05-20"
"35.0.1916.114";"2014-05-20"
"35.0.1916.153";"2014-07-16"
"36.0.1985";"2014-07-15"
"36.0.1985.122";"2014-07-16"
"36.0.1985.143";"2014-08-12"
"37.0.2062";"2014-08-26"
"37.0.2062.94";"2014-08-26"
"37.0.2062.95";"2014-08-28"
"37.0.2062.102";"2014-08-29"
"37.0.2062.103";"2014-09-02"
"37.0.2062.120";"2014-09-09"
"37.0.2062.124";"2014-09-24"
"38.0.2125";"2014-10-07"
"38.0.2125.101";"2014-10-07"
"38.0.2125.104";"2014-10-14"
"38.0.2125.111";"2014-10-27"
"38.0.2125.122";"2014-11-12"
"39.0.2171";"2014-11-12"
"39.0.2171.65";"2014-11-18"
"39.0.2171.71";"2014-11-25"
"39.0.2171.95";"2014-12-09"
"39.0.2171.99";"2015-01-13"
"40.0.2214";"2015-01-20"
"40.0.2214.91";"2015-01-22"
"40.0.2214.93";"2015-01-27"
"40.0.2214.94";"2015-01-29"
"40.0.2214.111";"2015-02-05"
"40.0.2214.115";"2015-02-19"
"41.0.2272";"2015-03-03"
"41.0.2272.76";"2015-03-06"
"41.0.2272.89";"2015-03-10"
"41.0.2272.101";"2015-03-20"
"41.0.2272.118";"2015-04-01"
"42.0.2311";"2015-04-14"
"42.0.2311.90";"2015-04-14"
"42.0.2311.135";"2015-04-28"
"42.0.2311.152";"2015-05-12"
"43.0.2357";"2015-05-19"
"43.0.2357.65";"2015-05-19"
"43.0.2357.81";"2015-05-25"
"43.0.2357.124";"2015-06-09"
"43.0.2357.132";"2015-07-07"
"43.0.2357.134";"2015-07-14"
"44.0.2403";"2015-07-21"
"44.0.2403.89";"2015-07-21"
"44.0.2403.107";"2015-07-24"
"44.0.2403.125";"2015-07-28"
"44.0.2403.130";"2015-08-04"
"44.0.2403.155";"2015-08-11"
"44.0.2403.157";"2015-08-20"
"45.0.2454";"2015-09-01"
"45.0.2454.85";"2015-09-01"
"45.0.2454.93";"2015-09-15"
"45.0.2454.99";"2015-09-21"
"45.0.2454.101";"2015-09-24"
"46.0.2490";"2015-10-13"
"46.0.2490.71";"2015-10-15"
"46.0.2490.86";"2015-11-10"
"47.0.2526";"2015-12-01"
"47.0.2526.73";"2015-12-01"
"47.0.2526.80";"2015-12-08"
"47.0.2526.81";"2015-12-12"
"47.0.2526.82";"2015-12-12"
"47.0.2526.106";"2015-12-16"
"47.0.2526.111";"2016-01-13"
"48.0.2564";"2016-01-20"
"48.0.2564.82";"2016-01-20"
"48.0.2564.97";"2016-01-27"
"48.0.2564.103";"2016-02-03"
"48.0.2564.109";"2016-02-09"
"48.0.2564.116";"2016-02-18"
"49.0.2623";"2016-03-02"
"49.0.2623.75";"2016-03-02"
"49.0.2623.87";"2016-03-09"
"49.0.2623.108";"2016-03-24"
"49.0.2623.110";"2016-03-28"
"49.0.2623.112";"2016-04-07"
"50.0.2661";"2016-04-13"
"50.0.2661.75";"2016-04-13"
"50.0.2661.87";"2016-04-21"
"50.0.2661.94";"2016-04-28"
"50.0.2661.102";"2016-05-11"
"51.0.2704";"2016-05-25"
"51.0.2704.63";"2016-05-25"
"51.0.2704.79";"2016-06-01"
"51.0.2704.84";"2016-06-06"
"51.0.2704.103";"2016-06-16"
"51.0.2704.106";"2016-06-24"
"52.0.2743";"2016-07-20"
"52.0.2743.82";"2016-07-20"
"52.0.2743.116";"2016-08-03"
"53.0.2785";"2016-08-31"
"53.0.2785.89";"2016-08-31"
"53.0.2785.101";"2016-09-07"
"53.0.2785.113";"2016-09-13"
"53.0.2785.116";"2016-09-14"
"53.0.2785.143";"2016-09-29"
"54.0.2840";"2016-10-12"
"54.0.2840.59";"2016-10-12"
"54.0.2840.71";"2016-10-20"
"54.0.2840.87";"2016-11-02"
"54.0.2840.99";"2016-11-10"
"55.0.2883";"2016-12-01"
"55.0.2883.75";"2016-12-02"
"55.0.2883.87";"2016-12-09"
"56.0.2924";"2017-01-25"
"56.0.2924.76";"2017-01-26"
"56.0.2924.87";"2017-02-02"
"56.0.2924.87001";"2017-03-01"
"57.0.2987";"2017-03-09"
"57.0.2987.98";"2017-03-10"
"57.0.2987.110";"2017-03-17"
"57.0.2987.133";"2017-03-30"
"57.0.2987.13301";"2017-04-14"
"58.0.3029";"2017-04-19"
"58.0.3029.81";"2017-04-19"
"58.0.3029.96";"2017-05-03"
"58.0.3029.110";"2017-05-09"
"59.0.3071";"2017-06-05"
"59.0.3071.86";"2017-06-06"
"59.0.3071.104";"2017-06-16"
