"version_full";"date (yyyy-mm-dd)"
"11.0.0";"2012-10-15"
"11.0.01";"2013-01-08"
"11.0.02";"2013-02-20"
"11.0.03";"2013-05-14"
"11.0.04";"2013-10-08"
"11.0.05";"2013-10-08"
"11.0.06";"2014-01-14"
"11.0.07";"2014-05-13"
"11.0.08";"2014-08-12"
"11.0.09";"2014-12-09"
"11.0.10";"2014-12-09"
"11.0.11";"2015-05-12"
"11.0.12";"2015-07-14"
"11.0.13";"2015-10-13"
"11.0.14";"2016-01-12"
"11.0.15";"2016-03-08"
"11.0.16";"2016-05-10"
"11.0.17";"2016-07-12"
"11.0.18";"2016-10-11"
"11.0.19";"2017-01-10"
"11.0.20";"2017-04-11"
"11.0.21";"2017-08-08"
"11.0.22";"2017-08-22"
"11.0.23";"2017-11-14"
"15.006.30060";"2015-07-14"
"15.006.30094";"2015-10-13"
"15.006.30096";"2015-10-29"
"15.006.30097";"2015-11-25"
"15.006.30119";"2016-01-12"
"15.006.30121";"2016-03-08"
"15.006.30172";"2016-05-10"
"15.006.30173";"2016-05-19"
"15.006.30174";"2016-06-02"
"15.006.30198";"2016-07-12"
"15.006.30201";"2016-08-02"
"15.006.30243";"2016-10-11"
"15.006.30244";"2016-11-03"
"15.006.30279";"2017-01-10"
"15.006.30280";"2017-01-19"
"15.006.30306";"2017-04-11"
"15.006.30352";"2017-08-08"
"15.006.30354";"2017-08-11"
"15.006.30355";"2017-08-29"
"15.006.30392";"2017-11-14"
"15.006.30394";"2017-12-01"
"15.006.30413";"2018-02-13"
"15.006.30417";"2018-02-23"
"15.006.30418";"2018-05-08"
"15.006.30434";"2018-07-10"
"15.006.30448";"2018-08-14"
"15.006.30452";"2018-09-19"
"15.006.30456";"2018-10-02"
"15.006.30457";"2018-11-13"
"15.006.30461";"2018-12-11"
"15.006.30464";"2019-01-03"
"15.006.30475";"2019-02-12"
"15.006.30482";"2019-02-21"
"15.006.30493";"2019-04-09"
"15.006.30495";"2019-04-16"
"15.006.30497";"2019-05-14"
"15.006.30498";"2019-06-13"
"15.006.30499";"2019-08-13"
"15.006.30503";"2019-08-22"
"15.006.30504";"2019-10-15"
"15.006.30505";"2019-10-30"
"15.006.30508";"2019-12-10"
"15.006.30510";"2020-02-11"
"15.006.30518";"2020-03-17"
"15.006.30523";"2020-05-12"
"15.006.30527";"2020-08-11"
"15.008.20082";"2015-07-14"
"15.009.20069";"2015-10-13"
"15.009.20071";"2015-10-14"
"15.009.20077";"2015-10-29"
"15.009.20079";"2015-11-25"
"15.010.20056";"2016-01-12"
"15.010.20059";"2016-02-16"
"15.010.20060";"2016-03-08"
